station_number,month,mean_temp,mean_dew_point,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,rain
587260,5,63.799999237060547,60.099998474121094,13.399999618530273,5.8000001907348633,13.600000381469727,57.900001525878906,0.079999998211860657,true
568380,1,51.700000762939453,40.599998474121094,11.199999809265137,4.1999998092651367,13.600000381469727,39.599998474121094,0.0,true
219230,6,33.599998474121094,32.200000762939453,10.5,8.3000001907348633,15.5,32.0,0.039999999105930328,false
673350,10,80.699996948242188,67.0,20.899999618530273,3.0999999046325684,7.8000001907348633,66.4000015258789,0.0,false
919440,10,80.4000015258789,70.0,15.5,11.0,14.0,77.9000015258789,0.0,false
343190,9,64.5,52.200000762939453,11.800000190734863,2.5999999046325684,5.8000001907348633,54.700000762939453,0.0,false
231030,3,16.600000381469727,12.5,9.3999996185302734,7.8000001907348633,15.5,8.6000003814697266,0.0,false
155110,4,50.299999237060547,45.599998474121094,8.8999996185302734,0.800000011920929,3.9000000953674316,45.299999237060547,0.31000000238418579,false
539750,6,72.699996948242188,50.099998474121094,10.5,3.9000000953674316,13.600000381469727,57.700000762939453,0.0,false
572900,8,86.0999984741211,79.800003051757812,6.5,2.5,5.8000001907348633,78.300003051757812,0.0,false
283210,8,63.0,56.799999237060547,25.899999618530273,3.9000000953674316,7.8000001907348633,56.700000762939453,0.0,false
230320,10,30.200000762939453,27.700000762939453,9.0,13.600000381469727,17.5,24.100000381469727,0.0,false
240520,8,39.099998474121094,32.700000762939453,30.200000762939453,2.2000000476837158,5.8000001907348633,31.100000381469727,0.0,false
360640,6,43.0,36.599998474121094,24.799999237060547,1.3999999761581421,3.9000000953674316,38.299999237060547,0.2800000011920929,false
467570,10,74.0999984741211,63.900001525878906,8.5,5.3000001907348633,7.0,71.5999984741211,0.0,false
573060,3,49.400001525878906,45.099998474121094,6.1999998092651367,1.1000000238418579,3.9000000953674316,46.0,0.0,false
915920,2,76.699996948242188,71.800003051757812,13.399999618530273,7.4000000953674316,13.0,71.5999984741211,0.079999998211860657,false
967430,11,81.4000015258789,75.199996948242188,5.5,4.6999998092651367,8.0,77.4000015258789,0.0,false
166430,5,70.5999984741211,56.700000762939453,11.100000381469727,2.2999999523162842,9.8999996185302734,55.400001525878906,0.0,false
413160,2,77.699996948242188,36.400001525878906,6.5,10.699999809265137,16.899999618530273,64.9000015258789,0.0,false
228920,11,25.600000381469727,20.200000762939453,11.600000381469727,5.0,7.8000001907348633,19.899999618530273,0.0,false
